Name,Author,User Rating,Reviews,Price,Year,Genre,Rank
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,12,2013,Fiction,4
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2013,Fiction,5
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,20,2013,Fiction,6
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2013,Fiction,7
Wonder,R. J. Palacio,4.8,21625,9,2013,Fiction,8
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2013,Fiction,9
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,14,2013,Fiction,10
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Fiction,11
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,Non Fiction,12
Humans of New York,Brandon Stanton,4.8,3490,15,2013,Non Fiction,13
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,17,2013,Non Fiction,14
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",BreneÌ Brown,4.8,1329,10,2013,Non Fiction,15
The Fault in Our Stars,John Green,4.7,50482,13,2013,Fiction,16
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2013,Non Fiction,17
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Fiction,18
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7034,15,2013,Non Fiction,19
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,2013,Non Fiction,20
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2013,Non Fiction,21
Divergent,Veronica Roth,4.6,27098,15,2013,Fiction,22
The Book Thief,Markus Zusak,4.6,23148,6,2013,Fiction,23
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,7,2013,Non Fiction,24
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2013,Non Fiction,25
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,Non Fiction,26
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2013,Fiction,27
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,Non Fiction,28
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2013,Non Fiction,29
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritualâ€¦",Zhi Gang Sha,4.6,220,17,2013,Non Fiction,30
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,18,2013,Fiction,31
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,Non Fiction,32
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2013,Non Fiction,33
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2013,Non Fiction,34
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Non Fiction,35
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,Fiction,36
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Non Fiction,37
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2013,Fiction,38
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,2013,Non Fiction,39
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,Non Fiction,40
The Official SAT Study Guide,The College Board,4.4,1201,40,2013,Non Fiction,41
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2013,Non Fiction,42
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,Fiction,43
Inferno,Dan Brown,4.1,29651,14,2013,Fiction,44
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6,2013,Non Fiction,45
Gone Girl,Gillian Flynn,4,57271,10,2013,Fiction,46
StrengthsFinder 2.0,Gallup,4,5069,17,2013,Non Fiction,47
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2013,Fiction,48
Allegiant,Veronica Roth,3.9,6310,13,2013,Fiction,49
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2013,Fiction,50
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2014,Fiction,1
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2014,Non Fiction,2
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2014,Fiction,3
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,12,2014,Fiction,4
Little Blue Truck,Alice Schertle,4.9,1884,0,2014,Fiction,5
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,13,2014,Non Fiction,6
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2014,Non Fiction,7
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2014,Fiction,8
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,2014,Non Fiction,9
Wonder,R. J. Palacio,4.8,21625,9,2014,Fiction,10
Love You Forever,Robert Munsch,4.8,18613,5,2014,Fiction,11
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2014,Fiction,12
The Book with No Pictures,B. J. Novak,4.8,8081,8,2014,Fiction,13
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,6600,11,2014,Fiction,14
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction,15
Humans of New York,Brandon Stanton,4.8,3490,15,2014,Non Fiction,16
